Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
25000,36 Months,0.5,RENT,85000,Debt Consolidation,CA,19.48,None,34380.44375,735,0,0,10,None,28854,52.1,42,308,None,Creditworthy
7000,36 Months,0.5,RENT,65000,Credit Card,NY,14.29,None,36820.52083,705,0,0,7,None,33623,76.7,7,71,None,Creditworthy
1200,36 Months,10,OWN,54000,Debt Consolidation,TX,5.47,None,31068.22222,675,0,64,5,None,2584,40.4,31,748,None,Creditworthy
10800,36 Months,6,RENT,32000,Debt Consolidation,CT,11.63,None,35411.32431,680,1,58,14,None,3511,25.6,40,403,None,Creditworthy
7500,36 Months,3,RENT,85000,Debt Consolidation,CA,8.1,None,36846.05278,710,1,0,3,None,33667,73.2,11,293,None,Creditworthy
3000,36 Months,3,MORTGAGE,80800,Credit Card,TX,14.97,One,36004.45278,665,0,13,13,None,4740,39.5,23,487,None,Creditworthy
4000,36 Months,0.5,MORTGAGE,148000,Credit Card,TX,16.98,None,34095.40694,725,0,0,11,None,50000,51,19,363,None,Creditworthy
5600,36 Months,1,RENT,45000,Debt Consolidation,MD,4,None,37045.53194,665,0,38,5,One,3839,76.8,9,340,None,Uncreditworthy
3200,36 Months,5,RENT,54000,Debt Consolidation,MA,6.51,None,38872.23681,740,0,0,7,None,3198,51.1,11,141,None,Creditworthy
4000,36 Months,0.5,MORTGAGE,60000,Car,MI,11.08,None,34933.54097,720,0,0,14,None,24220,68.6,33,824,None,Uncreditworthy
5000,36 Months,10,MORTGAGE,90000,Home Improvement,CA,17.25,None,35566.36597,680,1,0,20,None,50000,51.1,51,65,None,Creditworthy
2525,36 Months,3,RENT,27000,Debt Consolidation,KY,10,None,37139.14167,705,1,0,5,None,5630,23,8,171,None,Creditworthy
10625,36 Months,10,MORTGAGE,34000,Debt Consolidation,MS,22.09,None,33085.05972,675,2,57,5,One,13846,71,16,62,One,Creditworthy
2800,60 Months,0.5,RENT,24000,Debt Consolidation,CA,4,None,36865.49653,705,0,0,7,One,2183,19.5,23,302,One,Creditworthy
7500,36 Months,3,MORTGAGE,138000,Debt Consolidation,KS,9.16,One,35306.51944,660,2,10,11,None,5122,18.2,37,981,None,Creditworthy
10000,36 Months,1,MORTGAGE,56000,Debt Consolidation,MI,15.49,None,33584.53958,765,0,0,7,None,6068,16.7,49,240,None,Creditworthy
3000,36 Months,9,MORTGAGE,100000,Small Business,GA,6.5,One,35827.15833,745,0,16,14,None,3021,4.8,25,651,None,Creditworthy
6625,36 Months,0.5,RENT,13200,Debt Consolidation,CA,9.73,None,37963.44444,725,0,0,3,None,6282,44.6,9,1000,None,Creditworthy
10000,36 Months,10,MORTGAGE,46116,Major Purchase,NC,13.04,None,31360.22292,700,1,45,7,None,5394,53.4,23,40,None,Creditworthy
2300,36 Months,10,RENT,37152,Moving,NJ,2.26,None,35778.40347,670,0,46,4,None,2211,88.4,13,93,None,Creditworthy
15000,36 Months,0.5,MORTGAGE,110000,Credit Card,NY,7.07,None,33560.26944,795,1,0,6,None,7586,52.7,19,59,None,Creditworthy
18000,36 Months,10,MORTGAGE,36000,Debt Consolidation,WA,3.8,None,36759.33958,710,0,0,2,None,8311,59.8,9,55,None,Creditworthy
5000,36 Months,2,RENT,60000,Major Purchase,KY,2.74,None,38411.21319,665,3,0,2,None,591,84.4,6,192,None,Creditworthy
6000,36 Months,0.5,MORTGAGE,75000,Other,OH,16.08,None,34671.21597,770,1,0,16,None,29797,23.2,39,161,None,Creditworthy
15000,36 Months,10,OWN,50000,Other,MI,2.59,None,30000,795,0,0,4,None,5656,27.6,25,499,None,Creditworthy
10000,36 Months,3,RENT,100000,Credit Card,CA,7.94,None,37589.44722,660,0,0,11,None,21162,57.7,14,141,None,Creditworthy
15500,36 Months,0.5,RENT,125000,Credit Card,CT,7.05,None,34582.10486,780,1,0,8,None,16931,34.6,21,280,None,Creditworthy
9600,36 Months,4,RENT,78000,Debt Consolidation,IL,8.8,None,35762.39514,670,0,68,5,One,4822,58.1,27,89,One,Creditworthy
5000,36 Months,1,MORTGAGE,200000,Other,NY,10,Two,37712.33333,710,0,5,5,None,14354,36.6,7,22,None,Creditworthy
5000,36 Months,10,MORTGAGE,65000,Other,MA,0.28,None,34669.33333,800,1,0,12,None,1576,5.7,21,31,None,Creditworthy
7500,36 Months,0.5,OWN,22000,Debt Consolidation,MA,14.29,One,37921.28333,660,0,11,7,None,4175,51.5,8,91,None,Creditworthy
5000,36 Months,4,RENT,200000,House,NY,0.28,None,34773.39444,770,0,0,2,None,3164,13.7,2,0,None,Creditworthy
